setid,Mole fraction of 1H-imidazolium octanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cQqTt,0,298.15,101.3,997.1,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.1846,298.15,101.3,1002.9,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.2005,298.15,101.3,1003.1,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.3357,298.15,101.3,998.6,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.3983,298.15,101.3,996.6,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.4881,298.15,101.3,994.1,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.5909,298.15,101.3,991.7,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.6958,298.15,101.3,990,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.8036,298.15,101.3,988.8,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,0.9011,298.15,101.3,987.9,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
cQqTt,1,298.15,101.3,987,Anouti et al. (2010a),Density,Liquid,AADYJk,O,water,AAoqiD,c1c[nH+]c[nH]1.CCCCCCCC(=O)[O-],1H-imidazolium octanoate,,,
