setid,"MolaLity of 1-butyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Kordx,0.052,293.15,101,814.31,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.052,308.15,101,802.84,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.052,323.15,101,790.99,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.101,293.15,101,818.63,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.101,308.15,101,807.15,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.101,323.15,101,795.31,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.153,293.15,101,823.08,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.153,308.15,101,811.61,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.153,323.15,101,799.78,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
Kordx,0.206,293.15,101,827.53,Gonzalez et al. (2013c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
