setid,Mole fraction of diisopropyl ether,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GoDga,0.0515,298.15,101.3,889.99,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.0994,298.15,101.3,888.06,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.2017,298.15,101.3,883.38,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.2989,298.15,101.3,878.11,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.4018,298.15,101.3,871.47,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.4997,298.15,101.3,863.46,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.5994,298.15,101.3,852.63,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.7017,298.15,101.3,836.78,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.8004,298.15,101.3,814.03,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.8993,298.15,101.3,778.62,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
GoDga,0.9491,298.15,101.3,752.99,Hwang et al. (2011a),Density,Liquid,AAThQq,CC(C)OC(C)C,diisopropyl ether,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
