setid,Weight fraction of 1-butyl-3-methylimidazolium bromide,Weight fraction of rubidium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iHUIu,0,0.3987,101,298.15,1355.4,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.053,0.3595,101,298.15,1304.82,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.1163,0.2967,101,298.15,1265.04,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.1849,0.2546,101,298.15,1237.82,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.2604,0.2127,101,298.15,1223.79,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.3414,0.1742,101,298.15,1212.37,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.4324,0.1284,101,298.15,1219.54,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.5249,0.0932,101,298.15,1223.91,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.6223,0.0592,101,298.15,1237.26,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.7075,0.0493,101,298.15,1240.39,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
iHUIu,0.7964,0.0368,101,298.15,1243.19,Li et al. (2016d),Density,Liquid,AADYJk,O,water,AAcSWl,O=[N+]([O-])[O-].[Rb+],rubidium nitrate,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
