setid,Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GkAjy,0.0603,298.15,101,852.8,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.1474,298.15,101,887.5,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.2606,298.15,101,932,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.3613,298.15,101,971.2,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.4566,298.15,101,1008,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.5479,298.15,101,1043.1,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.6643,298.15,101,1087.2,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.7587,298.15,101,1122.6,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.8493,298.15,101,1156.7,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
GkAjy,0.9569,298.15,101,1196.6,Domanska et al. (2006b),Density,Liquid,AAeWzK,CCCCCCCCCCO,decan-1-ol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
