setid,"MolaLity of 1-butyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yfMMC,0.05,293.15,101,808.59,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.05,308.15,101,796.51,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.05,323.15,101,784.03,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.101,293.15,101,813.12,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.101,308.15,101,801.04,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.101,323.15,101,788.57,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.15,293.15,101,817.38,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.15,308.15,101,805.31,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.15,323.15,101,792.86,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.2,293.15,101,821.64,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.2,308.15,101,809.57,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
yfMMC,0.2,323.15,101,797.12,Gonzalez et al. (2013c),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
