setid,"Temperature, K","MolaLity of cetalkonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CfnNp,288.15,0.006,101.325,999.012,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.0094,101.325,998.961,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.01,101.325,998.951,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.0149,101.325,998.883,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.0185,101.325,998.83,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.0187,101.325,998.828,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.0235,101.325,998.758,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.0296,101.325,998.669,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,288.15,0.0303,101.325,998.659,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.006,101.325,996.947,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.0094,101.325,996.882,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.01,101.325,996.87,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.0149,101.325,996.783,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.0188,101.325,996.716,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.0235,101.325,996.633,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.0296,101.325,996.53,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
CfnNp,298.15,0.0303,101.325,996.514,Gonzalez-Perez et al. (2003),Density,Liquid,ABYJvq,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cetalkonium chloride,AADYJk,O,water,,,
