setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of potassium chloride, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kqQkq,288.15,0,84.5,0.035,1000.79,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00115,84.5,0.035,1000.83,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00211,84.5,0.035,1000.87,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.0025,84.5,0.035,1000.88,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00288,84.5,0.035,1000.9,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00418,84.5,0.035,1000.95,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00501,84.5,0.035,1000.98,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00551,84.5,0.035,1001,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00627,84.5,0.035,1001.03,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00762,84.5,0.035,1001.07,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.00844,84.5,0.035,1001.1,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.0098,84.5,0.035,1001.15,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
kqQkq,288.15,0.01225,84.5,0.035,1001.21,Golabiazar and Sadeghi (2014b),Density,Liquid,AAORlg,[Cl-].[K+],potassium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
