setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium glycinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mgivr,288.15,0.027,101,1000.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.0379,101,1000.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.0451,101,1000.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.0603,101,1001.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.1158,101,1002.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.1787,101,1004,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.211,101,1004.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.2807,101,1006.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.3239,101,1007.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.3946,101,1009.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.4475,101,1010.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,288.15,0.4997,101,1012.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.027,101,999.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.0379,101,999.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.0451,101,999.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.0603,101,1000.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.1158,101,1001.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.1787,101,1002.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.211,101,1003.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.2807,101,1005.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.3239,101,1006.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.3946,101,1008,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.4475,101,1009.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,293.15,0.4997,101,1010.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,298.15,0.027,101,997.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,298.15,0.0379,101,998.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,298.15,0.0451,101,998.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
mgivr,298.15,0.0603,101,998.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,
