setid,"MolaLity of tetraphenylphosphonium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mnSQm,0.015216,298.15,101,998.055,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.020891,298.15,101,998.419,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.027507,298.15,101,998.842,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.029088,298.15,101,998.945,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.030552,298.15,101,999.038,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.041315,298.15,101,999.721,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.058314,298.15,101,1000.79,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.081667,298.15,101,1002.25,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.143229,298.15,101,1006,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.154943,298.15,101,1006.71,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.181446,298.15,101,1008.29,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.213166,298.15,101,1010.15,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.2795,298.15,101,1013.97,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.291132,298.15,101,1014.62,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.31222,298.15,101,1015.78,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.406413,298.15,101,1020.91,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
mnSQm,0.563547,298.15,101,1028.96,Perie et al. (1988),Density,Liquid,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water,,,
