setid,"Temperature, K","MolaLity of 1-methyl-3-pentyl-imidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MpcrL,278.15,0.1665,101,1004.57,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,278.15,0.2787,101,1007.66,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,278.15,0.4462,101,1012.14,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,278.15,0.5611,101,1015.19,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,278.15,0.8444,101,1022.33,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,278.15,1.1323,101,1029.16,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,278.15,1.4257,101,1035.82,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,283.15,0.1665,101,1004.11,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,283.15,0.2787,101,1007.08,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,283.15,0.4462,101,1011.4,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,283.15,0.5611,101,1014.31,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,283.15,0.8444,101,1021.18,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
MpcrL,283.15,1.1323,101,1027.74,Yang et al. (2007c),Density,Liquid,AADYJk,O,water,AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
