setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RTMou,278.15,0.0499,101,868.82,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.0996,101,929.8,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.15,101,984.2,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.2001,101,1032.07,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.2994,101,1111.77,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.4004,101,1177.58,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.4997,101,1231.42,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.5999,101,1276.64,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.7019,101,1315.15,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.7987,101,1347.1,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.8519,101,1362.9,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.8989,101,1375.9,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,278.15,0.9462,101,1388.4,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.0499,101,860.62,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.0996,101,921.53,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.15,101,975.84,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.2001,101,1023.66,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.2994,101,1103.29,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.4004,101,1169.07,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.4997,101,1222.91,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.5999,101,1268.13,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
RTMou,288.15,0.7019,101,1306.65,Vercher et al. (2011b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
