setid,"MolaRity of tetraethylammonium tetrafluoroborate, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PIcGA,0,298.15,101.3,1199.21,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0,303.15,101.3,1193.88,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0,308.15,101.3,1188.55,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0,313.15,101.3,1183.24,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.01195,298.15,101.3,1198.92,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.01195,303.15,101.3,1193.59,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.01195,308.15,101.3,1188.25,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.01195,313.15,101.3,1182.93,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.03572,298.15,101.3,1198.45,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.03572,303.15,101.3,1193.11,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.03572,308.15,101.3,1187.75,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.03572,313.15,101.3,1182.43,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.05924,298.15,101.3,1198.08,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.05924,303.15,101.3,1192.74,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.05924,308.15,101.3,1187.35,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.05924,313.15,101.3,1182.03,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.08254,298.15,101.3,1197.8,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.08254,303.15,101.3,1192.45,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.08254,308.15,101.3,1187.03,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.08254,313.15,101.3,1181.7,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.11717,298.15,101.3,1197.45,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.11717,303.15,101.3,1192.1,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.11717,308.15,101.3,1186.66,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
PIcGA,0.11717,313.15,101.3,1181.32,Thakur et al. (2023),Density,Liquid,AApmOO,CC[N+](CC)(CC)CC.F[B-](F)(F)F,tetraethylammonium tetrafluoroborate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
