setid,"Temperature, K","Pressure, kPa",Weight fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MRnXU,293.15,101,0.001,1439.9,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,298.15,101,0.001,1435.1,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,303.15,101,0.001,1430.3,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,308.15,101,0.001,1425.5,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,313.15,101,0.001,1420.7,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,318.15,101,0.001,1416,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,323.15,101,0.001,1411.2,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,328.15,101,0.001,1406.5,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,333.15,101,0.001,1401.7,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,338.15,101,0.001,1396.9,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
MRnXU,343.15,101,0.001,1392.2,Jacquemin et al. (2008b),Density,Liquid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
