setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fgPfw,303.15,101,0.5,935.3,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,308.15,101,0.5,932.2,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,313.15,101,0.5,929.2,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,318.15,101,0.5,926.1,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,323.15,101,0.5,923.1,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,328.15,101,0.5,920.1,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,333.15,101,0.5,917,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,338.15,101,0.5,914,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,343.15,101,0.5,910.9,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,348.15,101,0.5,907.9,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,353.15,101,0.5,904.8,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,358.15,101,0.5,901.7,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,363.15,101,0.5,898.7,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
fgPfw,368.15,101,0.5,895.6,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAjrRe,CCCCCCCCCCCCO,dodecan-1-ol,,,
