setid,"Temperature, K",Mole fraction of 3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XLuDj,288.15,0,101,787.3,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.1002,101,1005.5,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.2002,101,1135.6,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.2994,101,1220.8,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.4006,101,1282.8,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.5,101,1328,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.6005,101,1364.2,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.698,101,1391.7,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.7996,101,1415,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
XLuDj,288.15,0.9007,101,1434.3,Zhang et al. (2018f),Density,Liquid,ABFcpW,C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,AAHueB,CC#N,acetonitrile,,,
