setid,"Temperature, K",Mole fraction of triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gSpZN,293.15,0,100,804,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.04926,100,910,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.1003,100,996,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.19931,100,1120,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.30084,100,1209,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.39912,100,1273,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.5023,100,1324,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.59868,100,1363,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.69872,100,1395,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.79473,100,1421,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,0.90298,100,1446,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,293.15,1,100,1465,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0,100,800,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.04926,100,906,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.1003,100,992,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.19931,100,1115,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.30084,100,1204,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.39912,100,1268,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.5023,100,1319,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.59868,100,1358,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.69872,100,1390,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.79473,100,1416,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,0.90298,100,1441,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,298.15,1,100,1460,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
gSpZN,303.15,0,100,796,Ramos-Estrada et al. (2018),Density,Liquid,ABYpAz,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
