setid,"Temperature, K","Pressure, kPa",Mole fraction of dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lSZcU,283.15,100,0.5,1196.6,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,288.15,100,0.5,1193.8,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,293.15,100,0.5,1190.9,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,298.15,100,0.5,1188,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,303.15,100,0.5,1185.2,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,308.15,100,0.5,1182.7,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,313.15,100,0.5,1180,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,318.15,100,0.5,1177.2,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,323.15,100,0.5,1174.5,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,328.15,100,0.5,1171.7,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,333.15,100,0.5,1169,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,338.15,100,0.5,1166.2,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,343.15,100,0.5,1163.5,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,348.15,100,0.5,1160.8,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
lSZcU,353.15,100,0.5,1158,Kazarina et al. (2023a),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALcjF,NC(N)=O,urea,,,
