setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fEgXH,0,0.00391,298.15,102,997.18,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.00569,298.15,102,997.24,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.00713,298.15,102,997.3,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.0084,298.15,102,997.34,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.00984,298.15,102,997.39,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.01237,298.15,102,997.47,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.01433,298.15,102,997.52,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.0187,298.15,102,997.64,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.02447,298.15,102,997.81,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.02603,298.15,102,997.85,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0,0.02806,298.15,102,997.91,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00021,0.00188,298.15,102,997.11,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00032,0.00284,298.15,102,997.15,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00042,0.00377,298.15,102,997.18,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00061,0.00551,298.15,102,997.25,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00066,0.00155,298.15,102,997.11,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00082,0.00741,298.15,102,997.32,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.0009,0.0021,298.15,102,997.13,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00093,0.00833,298.15,102,997.36,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00108,0.00162,298.15,102,997.12,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00116,0.01044,298.15,102,997.43,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00139,0.01255,298.15,102,997.5,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.0014,0.00328,298.15,102,997.19,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00148,0.00222,298.15,102,997.15,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00152,0.00152,298.15,102,997.12,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00189,0.01702,298.15,102,997.63,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00202,0.00134,298.15,102,997.13,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00209,0.00489,298.15,102,997.26,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.0022,0.00331,298.15,102,997.2,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00229,0.02057,298.15,102,997.74,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00233,0.001,298.15,102,997.12,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00236,0.00236,298.15,102,997.17,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00271,0.00631,298.15,102,997.32,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00299,0.00075,298.15,102,997.13,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00308,0.00462,298.15,102,997.2,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.0033,0.02973,298.15,102,998.02,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fEgXH,0.00334,0.00222,298.15,102,997.19,Zheng et al. (2017c),Density,Liquid,AADYJk,O,water,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
