setid,"Temperature, K",Mole fraction of 1-ethylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kKloD,288.15,0,100,793.91,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.0989,100,879.38,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.2001,100,939.24,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.3004,100,982.86,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.4006,100,1016.7,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.4942,100,1042.1,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.6006,100,1065.3,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.6992,100,1083.4,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.8026,100,1098.6,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,0.8992,100,1111.8,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,288.15,1,100,1124.7,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0,100,789.66,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.0989,100,875.5,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.2001,100,935.59,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.3004,100,979.34,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.4006,100,1013.5,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.4942,100,1038.9,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.6006,100,1062.2,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.6992,100,1080.2,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.8026,100,1095.4,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,0.8992,100,1108.6,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,293.15,1,100,1121.6,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0,100,785.73,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.0989,100,871.6,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.2001,100,931.91,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.3004,100,975.99,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.4006,100,1010.4,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.4942,100,1035.8,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.6006,100,1059.2,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.6992,100,1076.9,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.8026,100,1092.3,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,0.8992,100,1105.6,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,298.15,1,100,1118.5,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,303.15,0,100,781.05,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,303.15,0.0989,100,867.68,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
kKloD,303.15,0.2001,100,928.24,Xing et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,
