setid,"Pressure, kPa",Mole fraction of carbon dioxide,"Temperature, K",Specific volume<SUP>*</SUP>,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JsEXK,720,0.15,313.15,0.05,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,990,0.226,313.15,0.06,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,1610,0.33,313.15,0.09,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,1880,0.37,313.15,0.11,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,2280,0.42,313.15,0.13,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,2580,0.46,313.15,0.14,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,3110,0.51,313.15,0.17,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,3390,0.53,313.15,0.19,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,3710,0.56,313.15,0.19,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,3990,0.57,313.15,0.21,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,4440,0.6,313.15,0.24,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,5070,0.64,313.15,0.27,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,5510,0.66,313.15,0.28,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,5960,0.68,313.15,0.32,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,6540,0.71,313.15,0.35,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,7240,0.73,313.15,0.38,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,7560,0.73,313.15,0.4,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,7860,0.74,313.15,0.41,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,8170,0.75,313.15,0.43,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,8860,0.77,313.15,0.44,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,9540,0.78,313.15,0.46,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,10670,0.79,313.15,0.47,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,11930,0.79,313.15,0.49,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,13790,0.8,313.15,0.51,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
JsEXK,18030,0.81,313.15,0.54,Nunes da Ponte and Zakrzewska (2016),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
