setid,"Temperature, K",Weight fraction of 1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hZuOh,293.15,0.173,100,1015.5,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.256,100,1023.1,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.374,100,1034.1,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.462,100,1041.1,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.552,100,1048.9,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.648,100,1057.6,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.706,100,1062.9,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.8,100,1070.7,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.874,100,1070.8,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.925,100,1066.5,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,293.15,0.966,100,1060.4,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.173,100,1013.2,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.256,100,1021,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.374,100,1031.4,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.462,100,1038.4,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.552,100,1046.7,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.648,100,1054.8,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.706,100,1059.6,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.8,100,1067.1,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.874,100,1066.7,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
hZuOh,298.15,0.925,100,1063.1,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,ABHaJl,CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-methyl-3-octyl-1H-imidazol-3-ium L-prolinate,,,
