setid,"Temperature, K","Solvent: MolaLity of 1-phenylpiperazinium tetrafluoroborate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hfhfN,298.15,0.025,0.0499,100,1000.38,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.025,0.0999,100,1001.94,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.025,0.15,100,1003.52,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.025,0.2,100,1005.05,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.025,0.2499,100,1006.6,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.025,0.3,100,1008.13,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.025,0.35,100,1009.63,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.025,0.3999,100,1011.21,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.055,0.05,100,1002.32,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
hfhfN,298.15,0.055,0.1,100,1003.84,Xie et al. (2016a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
