setid,"Temperature, K","Solvent: MolaLity of 1-butyl-4-methylpyridinium chloride, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
otwKQ,288.15,0.025,0,100,999.7,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.025,0.02001,100,1000.29,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.025,0.0594,100,1001.45,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.025,0.1005,100,1002.64,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.025,0.1351,100,1003.63,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.025,0.1701,100,1004.63,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.025,0.2018,100,1005.53,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.05,0,100,999.99,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.05,0.02,100,1000.59,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.05,0.0597,100,1001.76,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.05,0.1003,100,1002.94,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.05,0.1409,100,1004.1,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.05,0.1701,100,1004.92,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.05,0.1993,100,1005.74,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.075,0,100,1000.28,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.075,0.02035,100,1000.89,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.075,0.0603,100,1002.07,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.075,0.0995,100,1003.22,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
otwKQ,288.15,0.075,0.1409,100,1004.4,Sharma et al. (2017),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAjkTr,CCCC[n+]1ccc(C)cc1.[Cl-],1-butyl-4-methylpyridinium chloride
