setid,"Temperature, K",Weight fraction of 1-hexyl-4-methylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qpNps,288.15,0,100,999.094,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,288.15,0.01,100,1000.9,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,288.15,0.015,100,1001.79,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,288.15,0.02,100,1002.56,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,293.15,0,100,998.203,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,293.15,0.01,100,999.956,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,293.15,0.015,100,1000.82,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,293.15,0.02,100,1001.8,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,298.15,0,100,997.042,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,298.15,0.01,100,998.796,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,298.15,0.015,100,999.636,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,298.15,0.02,100,1000.38,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,303.15,0,100,995.646,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,303.15,0.01,100,997.389,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,303.15,0.015,100,998.196,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,303.15,0.02,100,998.926,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,308.15,0,100,994.023,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,308.15,0.01,100,995.718,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,308.15,0.015,100,996.546,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
qpNps,308.15,0.02,100,997.238,Mehrdad and Ghorbanipour (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
