setid,"Temperature, K",Weight fraction of 2-aminoethan-1-ol,Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EJPON,293.15,0.3046,0.2643,101,1128,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,293.15,0.3119,0.5836,101,1041,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,298.15,0.2994,0.4614,101,1073,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,298.15,0.3046,0.2643,101,1124,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,298.15,0.3119,0.5836,101,1039,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,303.15,0.2994,0.4614,101,1070,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,303.15,0.3046,0.2643,101,1120,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,303.15,0.3119,0.5836,101,1036,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,308.15,0.2994,0.4614,101,1067,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,308.15,0.3046,0.2643,101,1116,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,308.15,0.3119,0.5836,101,1033,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,313.15,0.2994,0.4614,101,1063,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,313.15,0.3046,0.2643,101,1113,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,313.15,0.3119,0.5836,101,1030,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,318.15,0.2994,0.4614,101,1060,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
EJPON,318.15,0.3046,0.2643,101,1109,Ebrahiminejadhasanabadi et al. (2021),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
