setid,Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iJaGx,0,101,298.15,781.14,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.1017,101,298.15,858.54,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.1993,101,298.15,916.96,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.2993,101,298.15,965.27,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.3991,101,298.15,1004.95,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.5008,101,298.15,1038.66,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.5992,101,298.15,1066.27,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.6926,101,298.15,1088.83,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.8551,101,298.15,1121.5,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,0.9,101,298.15,1129.33,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
iJaGx,1,101,298.15,1145.22,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,
