setid,Weight fraction of propan-2-ol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jaUXL,0,101,323.15,1185.1,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.0089,101,323.15,1180.4,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.0287,101,323.15,1170.1,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.0624,101,323.15,1147.4,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.1053,101,323.15,1122.1,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.1649,101,323.15,1091.3,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.2183,101,323.15,1061.8,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.2719,101,323.15,1031.6,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.324,101,323.15,1012,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.4108,101,323.15,973.3,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.5167,101,323.15,927.1,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.5965,101,323.15,901.9,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.6194,101,323.15,888.8,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.7697,101,323.15,835.5,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.8372,101,323.15,809.3,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,0.9344,101,323.15,778.8,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
jaUXL,1,101,323.15,758.7,Navarro et al. (2012),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
