setid,"Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","MolaLity of D-glucose, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zAHuX,0,0,101,298.15,997,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0,0.0104,101,298.15,997.8,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0,0.03,101,298.15,999.1,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0,0.05,101,298.15,1000.5,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0,0.0705,101,298.15,1001.8,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0,0.0899,101,298.15,1003.1,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0,0.1102,101,298.15,1004.5,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0.0975,0,101,298.15,1001.6,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0.0975,0.0104,101,298.15,1002.3,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
zAHuX,0.0975,0.0302,101,298.15,1003.7,Shekaari and Kazempour (2012c),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
