setid,"MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of dodecyldimethylammonium chloride, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IBcwv,0.04988,101,298,0.05,-0.82,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.0499,101,298,0.05,-0.69,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04991,101,298,0.05,-0.82,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04991,101,298,0.05,-0.8,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04992,101,298,0.05,-0.8,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04993,101,298,0.05,-0.77,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04995,101,298,0.05,-0.82,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04995,101,298,0.05,-0.75,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04996,101,298,0.05,-0.78,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
IBcwv,0.04997,101,298,0.05,-0.8,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water
