setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ilrgd,278.15,0.00452,101.3,1136.17,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.01391,101.3,1136.29,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.01999,101.3,1136.35,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.02921,101.3,1136.44,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.03989,101.3,1136.55,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.05113,101.3,1136.65,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.06351,101.3,1136.78,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.07457,101.3,1136.88,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,278.15,0.10219,101.3,1137.11,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.00452,101.3,1132.2,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.01391,101.3,1132.32,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.01999,101.3,1132.41,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.02921,101.3,1132.52,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.03989,101.3,1132.63,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.05113,101.3,1132.78,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.06351,101.3,1132.91,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.07457,101.3,1133.03,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,283.15,0.10219,101.3,1133.28,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,288.15,0.00452,101.3,1128.21,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,288.15,0.01391,101.3,1128.34,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,288.15,0.01999,101.3,1128.42,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,288.15,0.02921,101.3,1128.56,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,288.15,0.03989,101.3,1128.67,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
ilrgd,288.15,0.05113,101.3,1128.82,Vranes et al. (2023),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
