setid,"Temperature, K","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-serine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AMwVf,288.15,0,0,101.3,999.1,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.0489,101.3,1001.3,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.104,101.3,1003.8,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.2,101.3,1008,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.292,101.3,1012,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.3911,101.3,1016.3,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.471,101.3,1019.6,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.5884,101.3,1024.5,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.6788,101.3,1028.2,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0,0.7168,101.3,1029.6,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0,101.3,1001.6,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.05,101.3,1003.9,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.0991,101.3,1006,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.1896,101.3,1010,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.2928,101.3,1014.5,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.3908,101.3,1018.7,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.4713,101.3,1022,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.5678,101.3,1026,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.7332,101.3,1032.8,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.0509,0.8389,101.3,1036.9,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.1073,0,101.3,1004.4,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.1073,0.0497,101.3,1006.6,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.1073,0.1041,101.3,1009,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.1073,0.1962,101.3,1013,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.1073,0.2945,101.3,1017.2,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
AMwVf,288.15,0.1073,0.3776,101.3,1020.8,Patyar et al. (2018),Density,Liquid,AAUKxI,N[C@@H](CO)C(=O)O,L-serine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
