setid,"MolaRity of tetrapentylammonium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EkBDx,0.01887,101.3,298,938.13,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
EkBDx,0.05031,101.3,298,940.03,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
EkBDx,0.0818,101.3,298,941.84,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
EkBDx,0.1101,101.3,298,943.4,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
EkBDx,0.151,101.3,298,945.56,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
EkBDx,0.22015,101.3,298,949.02,Das et al. (2003a),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
