setid,"MolaRity of hexyltrimethylammonium bromide, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PjiAQ,0,298.15,101,997,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.1,298.15,101,1000.32,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.2,298.15,101,1003.85,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.3,298.15,101,1006.97,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.4,298.15,101,1010.42,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.45,298.15,101,1012.06,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.5,298.15,101,1013.74,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.6,298.15,101,1017.19,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.7,298.15,101,1021.02,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.8,298.15,101,1024.21,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,0.9,298.15,101,1027.68,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,1,298.15,101,1031.33,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,1.1,298.15,101,1034.12,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,1.3,298.15,101,1041.07,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,1.5,298.15,101,1047.62,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,1.7,298.15,101,1054.38,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
PjiAQ,2,298.15,101,1064.2,Gomez-Diaz et al. (2007a),Density,Liquid,AArFYq,CCCCCC[N+](C)(C)C.[Br-],hexyltrimethylammonium bromide,AADYJk,O,water,,,
