setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cxZVM,293.15,0,100,1075.9,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.05,100,1122,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.1002,100,1161.5,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.1505,100,1195.5,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.1985,100,1223.9,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.3001,100,1273.6,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.3987,100,1311.9,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.4903,100,1341.1,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.6309,100,1377.4,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.6988,100,1392,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.8042,100,1411.8,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,0.883,100,1424.8,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,293.15,1,100,1441.6,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0,100,1071.7,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.05,100,1117.7,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.1002,100,1157,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.1505,100,1191,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.1985,100,1219.3,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.3001,100,1268.9,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.3987,100,1307.2,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.4903,100,1336.4,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.6309,100,1372.5,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
cxZVM,298.15,0.6988,100,1387.1,Papovic et al. (2017),Density,Liquid,AAVxan,O=C1CCCCCO1,6-hexanolactone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
