setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KowaT,0,101,298.15,876.19,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.05001,101,298.15,899.22,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.0935,101,298.15,917.26,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.1993,101,298.15,955.71,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.2925,101,298.15,984.17,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.346,101,298.15,998.51,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.3976,101,298.15,1010.86,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.4452,101,298.15,1021.75,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.498,101,298.15,1032.81,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.5488,101,298.15,1042.25,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.6009,101,298.15,1051.75,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.6998,101,298.15,1067.45,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.8011,101,298.15,1081.98,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,0.886,101,298.15,1092.6,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
KowaT,1,101,298.15,1105,Zhu et al. (2012b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
