setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EOyhA,303.15,101,0.5,923.8,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,308.15,101,0.5,920.6,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,313.15,101,0.5,917.5,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,318.15,101,0.5,914.4,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,323.15,101,0.5,911.4,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,328.15,101,0.5,908.4,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,333.15,101,0.5,905.4,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,338.15,101,0.5,902.5,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,343.15,101,0.5,899.6,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,348.15,101,0.5,896.6,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,353.15,101,0.5,893.7,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,358.15,101,0.5,890.8,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,363.15,101,0.5,887.8,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
EOyhA,368.15,101,0.5,884.9,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AApLYs,CCCCCCCCCCCCCCO,1-tetradecanol,,,
