setid,"MolaLity of 2-butoxyethan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
POMSn,0.0498,101,298,0.05,-0.266,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.06517,101,298,0.05,-0.282,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.09978,101,298,0.05,-0.311,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.1188,101,298,0.05,-0.33,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.1288,101,298,0.05,-0.337,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.196,101,298,0.05,-0.369,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.2502,101,298,0.05,-0.393,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.2966,101,298,0.05,-0.401,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.3422,101,298,0.05,-0.402,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.3743,101,298,0.05,-0.391,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
POMSn,0.4105,101,298,0.05,-0.374,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAWlvl,CCCCOCCO,2-butoxyethan-1-ol,AADYJk,O,water
