setid,"Temperature, K",Weight fraction of N-methyldiethanolamine,Weight fraction of 2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zkhEI,303.15,0.3,0.3001,101,1098.9,Zhao et al. (2010a),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate
zkhEI,313.15,0.3,0.3001,101,1092.1,Zhao et al. (2010a),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate
zkhEI,323.15,0.3,0.3001,101,1085.2,Zhao et al. (2010a),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate
zkhEI,333.15,0.3,0.3001,101,1077.9,Zhao et al. (2010a),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate
zkhEI,343.15,0.3,0.3001,101,1070.4,Zhao et al. (2010a),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,ABjeiD,C[NH+](CCO)CCO.C[NH+](CCO)CCO.C[NH+](CCO)CCO.O=P([O-])([O-])[O-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium phosphate
