setid,"Temperature, K","MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mYlwH,278.15,0.00507,101.3,1136.48,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.01546,101.3,1136.86,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.02522,101.3,1137.19,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.03529,101.3,1137.54,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.04041,101.3,1137.66,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.05163,101.3,1137.8,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.05997,101.3,1138,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.0747,101.3,1138.11,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,278.15,0.09991,101.3,1138.26,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
mYlwH,283.15,0.00507,101.3,1132.43,Vranes et al. (2023),Density,Liquid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AAlSBG,OCCOCCOCCOCCO,tetraethylene glycol,,,
