setid,"Temperature, K",Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pjHzp,288.15,0.0065,100,1150.46,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,288.15,0.0092,100,1150.15,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,288.15,0.0116,100,1149.81,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,288.15,0.0135,100,1149.56,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,288.15,0.0161,100,1149.22,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,293.15,0.0065,100,1147.75,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,293.15,0.0092,100,1147.33,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,293.15,0.0116,100,1146.94,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,293.15,0.0135,100,1146.61,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,293.15,0.0161,100,1146.22,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,298.15,0.0065,100,1143.37,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,298.15,0.0092,100,1142.89,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,298.15,0.0116,100,1142.43,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,298.15,0.0135,100,1142.12,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,298.15,0.0161,100,1141.66,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,303.15,0.0065,100,1139.97,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,303.15,0.0092,100,1139.49,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,303.15,0.0116,100,1139.07,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,303.15,0.0135,100,1138.7,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,303.15,0.0161,100,1138.27,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,308.15,0.0065,100,1136.59,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,308.15,0.0092,100,1136.11,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,308.15,0.0116,100,1135.68,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,308.15,0.0135,100,1135.31,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,308.15,0.0161,100,1134.87,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,313.15,0.0065,100,1133.16,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,313.15,0.0092,100,1132.71,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,313.15,0.0116,100,1132.22,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,313.15,0.0135,100,1131.88,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,313.15,0.0161,100,1131.4,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,318.15,0.0065,100,1129.72,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,318.15,0.0092,100,1129.19,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,318.15,0.0116,100,1128.78,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,318.15,0.0135,100,1128.43,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,318.15,0.0161,100,1127.95,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,323.15,0.0065,100,1126.27,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,323.15,0.0092,100,1125.8,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,323.15,0.0116,100,1125.32,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,323.15,0.0135,100,1124.96,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,323.15,0.0161,100,1124.48,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,328.15,0.0065,100,1122.82,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,328.15,0.0092,100,1122.34,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,328.15,0.0116,100,1121.86,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,328.15,0.0135,100,1121.5,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
pjHzp,328.15,0.0161,100,1121,Zhang et al. (2017e),Density,Liquid,AADYJk,O,water,AAupRm,CCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],1-propyl-3-methylimidazolium DL-threoninate,,,
