setid,"Temperature, K","MolaLity of 1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fNZOL,293.15,0.05022,100,1005.2,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,293.15,0.10124,100,1012.1,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,293.15,0.19994,100,1024.7,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,293.15,0.25032,100,1030.8,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,293.15,0.29794,100,1036.5,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,293.15,0.3506,100,1042.4,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,293.15,0.40182,100,1048.1,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,293.15,0.45362,100,1053.6,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,298.15,0.05022,100,1004,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,298.15,0.10124,100,1010.8,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
fNZOL,298.15,0.19994,100,1023.3,Singh and Gardas (2018),Density,Liquid,ABdqfz,CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-isopentyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
