setid,"Temperature, K","MolaLity of lithium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bjVIU,298.15,6.996,100,1497,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,298.15,12.985,100,1636,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,298.15,16.893,100,1690,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,298.15,18.958,100,1712,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,298.15,20.951,100,1714,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,308.15,6.996,100,1488,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,308.15,12.985,100,1626,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,308.15,16.893,100,1680,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,308.15,18.958,100,1701,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,318.15,6.996,100,1479,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,318.15,12.985,100,1616,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,318.15,16.893,100,1669,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,318.15,18.958,100,1692,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,328.15,6.996,100,1470,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,328.15,12.985,100,1610,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,328.15,16.893,100,1660,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,328.15,18.958,100,1681,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
bjVIU,328.15,20.951,100,1692,Horwitz et al. (2021),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
