setid,"Temperature, K","Pressure, kPa","Mole ratio to solvent: 1,2-ethanediol","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Dwvtz,293.15,101,3,1063.63,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,298.15,101,3,1060.58,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,303.15,101,3,1057.52,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,308.15,101,3,1054.44,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,313.15,101,3,1051.35,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,318.15,101,3,1048.27,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,323.15,101,3,1045.19,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,328.15,101,3,1042.11,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,333.15,101,3,1039.03,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,338.15,101,3,1035.95,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
Dwvtz,343.15,101,3,1032.88,Basaiahgari et al. (2017),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAzuLA,CCC[N+](CCC)(CCC)Cc1ccccc1.[Cl-],benzyltripropylammonium chloride,,,
