setid,"MolaLity of tetrabutylammonium hydrogen sulfate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZoUwC,0.005,298.15,101,997.26,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.005,308.15,101,994.27,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.005,318.15,101,990.44,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.01,298.15,101,997.42,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.01,308.15,101,994.43,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.01,318.15,101,990.6,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.015,298.15,101,997.6,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.015,308.15,101,994.58,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.015,318.15,101,990.79,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.02,298.15,101,997.72,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.02,308.15,101,994.7,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
ZoUwC,0.02,318.15,101,990.95,Sarkar et al. (2016a),Density,Liquid,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,AADYJk,O,water,,,
