setid,"Temperature, K","MolaLity of N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RQGci,298.15,0,100,1095.28,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.0118,100,1096.12,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.0172,100,1096.52,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.0266,100,1097.18,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.0385,100,1098.03,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.0472,100,1098.63,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.0668,100,1099.99,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.0855,100,1101.26,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.1072,100,1102.73,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
RQGci,298.15,0.13,100,1104.24,Marcinkowski et al. (2015),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABwZoY,CCCCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-decyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)-imide,,,
