setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium nitrate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OPKnJ,288.15,0,84.5,0.035,1001.14,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00135,84.5,0.035,1001.19,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.002,84.5,0.035,1001.21,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00256,84.5,0.035,1001.23,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00282,84.5,0.035,1001.24,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00368,84.5,0.035,1001.27,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00436,84.5,0.035,1001.29,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00495,84.5,0.035,1001.3,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00549,84.5,0.035,1001.32,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00758,84.5,0.035,1001.38,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.00915,84.5,0.035,1001.43,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.01206,84.5,0.035,1001.51,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.01211,84.5,0.035,1001.51,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.01826,84.5,0.035,1001.69,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.02085,84.5,0.035,1001.77,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.02585,84.5,0.035,1001.92,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.03033,84.5,0.035,1002.04,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.04624,84.5,0.035,1002.49,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
OPKnJ,288.15,0.06326,84.5,0.035,1002.96,Golabiazar and Sadeghi (2014b),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
