setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
okvZQ,293.15,0.0806,100,856.1,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.1591,100,885.1,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.2392,100,913.2,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.3493,100,949.6,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.4396,100,977.6,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.5621,100,1013.2,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.649,100,1036.9,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.7407,100,1060.6,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.8495,100,1087,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,0.9397,100,1107.4,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,293.15,1,100,1120.3,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
okvZQ,298.15,0.0806,100,852.6,Khedri et al. (2019),Density,Liquid,AAsErb,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-hexyl-3-methylimidazolium nitrate,AAZCDI,CCCCCCCCO,octan-1-ol,,,
