setid,"Moles per mass of solution: tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eYnIo,0,100,298.15,936.357,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.08354,100,298.15,939.628,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.10202,100,298.15,940.361,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.11587,100,298.15,940.922,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.13268,100,298.15,941.592,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.14937,100,298.15,942.25,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.16628,100,298.15,942.922,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.18547,100,298.15,943.669,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.19823,100,298.15,944.182,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.23101,100,298.15,945.465,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.26616,100,298.15,946.841,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.29515,100,298.15,947.972,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
eYnIo,0.32989,100,298.15,949.322,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
