setid,"Temperature, K",Mole fraction of 4-methyl-4-pentylmorpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CnWZa,298.15,0,100,997.1,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.0316,100,1072.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.0695,100,1127.6,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.0965,100,1153.8,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.1196,100,1170,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.1522,100,1187.7,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.2054,100,1208.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.219,100,1212.2,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.2438,100,1218.9,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
CnWZa,298.15,0.2754,100,1226,Zawadzki et al. (2016),Density,Liquid,AADYJk,O,water,AAwZYf,CCCCC[N+]1(C)CCOCC1.[Br-],4-methyl-4-pentylmorpholinium bromide,,,
