setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Solvent: MolaLity of L-glutamine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BIQrc,293.15,0,0.01,101,998.86,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0,0.05,101,1001.06,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0,0.1,101,1003.54,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.003,0.01,101,998.947,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.003,0.05,101,1001.15,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.003,0.1,101,1003.64,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.006,0.01,101,999.014,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.006,0.05,101,1001.21,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.006,0.1,101,1003.72,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.009,0.01,101,999.081,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.009,0.05,101,1001.28,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.009,0.1,101,1003.79,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.012,0.01,101,999.151,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.012,0.05,101,1001.35,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.012,0.1,101,1003.85,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.015,0.01,101,999.214,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.015,0.05,101,1001.4,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.015,0.1,101,1003.91,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.018,0.01,101,999.259,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.018,0.05,101,1001.45,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.018,0.1,101,1003.98,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.021,0.01,101,999.308,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.021,0.05,101,1001.48,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.021,0.1,101,1004.03,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.024,0.01,101,999.358,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.024,0.05,101,1001.53,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.024,0.1,101,1004.06,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.027,0.01,101,999.396,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.027,0.05,101,1001.58,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.027,0.1,101,1004.1,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.03,0.01,101,999.453,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.03,0.05,101,1001.62,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,293.15,0.03,0.1,101,1004.14,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0,0.01,101,997.699,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0,0.05,101,999.877,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0,0.1,101,1002.35,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.003,0.01,101,997.77,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.003,0.05,101,999.949,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.003,0.1,101,1002.42,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.006,0.01,101,997.834,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.006,0.05,101,1000.01,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.006,0.1,101,1002.5,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.009,0.01,101,997.899,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.009,0.05,101,1000.08,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.009,0.1,101,1002.55,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.012,0.01,101,997.959,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.012,0.05,101,1000.13,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.012,0.1,101,1002.6,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.015,0.01,101,998.016,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.015,0.05,101,1000.2,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.015,0.1,101,1002.67,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.018,0.01,101,998.064,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.018,0.05,101,1000.23,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.018,0.1,101,1002.71,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.021,0.01,101,998.108,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.021,0.05,101,1000.26,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.021,0.1,101,1002.76,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.024,0.01,101,998.158,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.024,0.05,101,1000.31,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.024,0.1,101,1002.79,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.027,0.01,101,998.193,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.027,0.05,101,1000.35,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.027,0.1,101,1002.83,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.03,0.01,101,998.247,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.03,0.05,101,1000.39,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,298.15,0.03,0.1,101,1002.87,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0,0.01,101,996.301,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0,0.05,101,998.447,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0,0.1,101,1000.89,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.003,0.01,101,996.356,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.003,0.05,101,998.516,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.003,0.1,101,1000.96,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.006,0.01,101,996.414,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.006,0.05,101,998.579,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.006,0.1,101,1001.03,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.009,0.01,101,996.478,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.009,0.05,101,998.638,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.009,0.1,101,1001.09,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.012,0.01,101,996.534,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.012,0.05,101,998.683,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.012,0.1,101,1001.14,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.015,0.01,101,996.587,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.015,0.05,101,998.741,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.015,0.1,101,1001.2,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.018,0.01,101,996.63,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.018,0.05,101,998.779,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.018,0.1,101,1001.25,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
BIQrc,303.15,0.021,0.01,101,996.673,Sharma and Chauhan (2014),Density,Liquid,AAcFLp,NC(=O)CC[C@H](N)C(=O)O,L-glutamine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
