setid,"Temperature, K",Mole fraction of triethylammonium dihydrogen phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MZXgw,298.15,0,101,1095.37,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.0228,101,1097.4,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.0457,101,1099.37,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.0728,101,1101.71,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.1172,101,1105.5,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.1658,101,1109.34,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.2384,101,1114.84,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.2945,101,1118.41,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.3613,101,1122.3,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.4112,101,1125.03,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.4859,101,1128.08,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.5506,101,1130.03,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.6122,101,1131.27,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.6728,101,1131.97,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.7404,101,1131.96,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.8037,101,1131.57,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.8705,101,1130.06,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.9493,101,1127.69,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,0.9758,101,1126.68,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,298.15,1,101,1125.7,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
MZXgw,303.15,0,101,1092.41,Govinda et al. (2013b),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAmPLu,CC[NH+](CC)CC.O=P([O-])(O)O,triethylammonium dihydrogen phosphate,,,
