setid,"MolaLity of 1-butyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sbYVq,0.0133,101,298.15,788.011,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.0288,101,298.15,789.686,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.0424,101,298.15,791.12,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.0739,101,298.15,794.425,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.0966,101,298.15,796.76,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.1419,101,298.15,801.334,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.1992,101,298.15,807.045,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.2412,101,298.15,811.062,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.2796,101,298.15,814.795,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.404,101,298.15,826.259,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.461,101,298.15,831.366,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
sbYVq,0.6132,101,298.15,844.434,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAGIBL,CO,methanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
