setid,"Temperature, K","MolaLity of 1,3-bis[3-methylimidazolium-1-yl]propane dibromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KdKpL,293.15,0,101,998.203,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,293.15,0.03423,101,1002.81,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,293.15,0.04998,101,1004.86,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,293.15,0.06131,101,1006.3,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,293.15,0.07119,101,1007.55,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,293.15,0.08049,101,1008.72,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,293.15,0.089,101,1009.76,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,293.15,0.09492,101,1010.48,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0,101,997.043,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0.03423,101,1001.61,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0.04998,101,1003.65,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0.06131,101,1005.1,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0.07119,101,1006.34,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0.08049,101,1007.49,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0.089,101,1008.53,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,298.15,0.09492,101,1009.24,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0,101,995.645,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0.03423,101,1000.19,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0.04998,101,1002.22,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0.06131,101,1003.66,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0.07119,101,1004.89,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0.08049,101,1006.04,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0.089,101,1007.06,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,303.15,0.09492,101,1007.78,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0,101,994.029,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0.03423,101,998.558,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0.04998,101,1000.57,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0.06131,101,1002.01,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0.07119,101,1003.23,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0.08049,101,1004.38,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0.089,101,1005.39,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,308.15,0.09492,101,1006.11,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0,101,992.212,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0.03423,101,996.725,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0.04998,101,998.73,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0.06131,101,1000.15,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0.07119,101,1001.38,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0.08049,101,1002.51,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0.089,101,1003.53,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
KdKpL,313.15,0.09492,101,1004.24,Kawadkar and Zodape (2019),Density,Liquid,ABSVgK,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.[Br-].[Br-],"1,3-bis[3-methylimidazolium-1-yl]propane dibromide",AADYJk,O,water,,,
