setid,"Temperature, K","Mole fraction of 1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bpmoN,293.15,0,101,1069.92,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.0466,101,1120.02,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.0774,101,1146,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.1154,101,1173.3,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.1633,101,1201.7,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.2269,101,1231.1,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.3131,101,1261.4,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.4385,101,1292.5,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.6368,101,1324.5,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,0.7472,101,1337.2,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,293.15,1,101,1358.2,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,298.15,0,101,1063.34,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,298.15,0.0466,101,1113.88,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,298.15,0.0774,101,1140.01,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
bpmoN,298.15,0.1154,101,1167.5,Ren et al. (2011c),Density,Liquid,AARQqy,COC(=O)OC,dimethyl carbonate,ABkmDU,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
