setid,"Temperature, K","MolaLity of L-asparagine, mol/kg","Solvent: MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NBqBH,293.15,0.01,0.001,100,998.87,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.01,0.003,100,998.92,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.01,0.005,100,998.98,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.025,0.001,100,999.72,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.025,0.003,100,999.77,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.025,0.005,100,999.81,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.04,0.001,100,1000.57,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.04,0.003,100,1000.61,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.04,0.005,100,1000.65,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.055,0.001,100,1001.45,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.055,0.003,100,1001.48,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.055,0.005,100,1001.51,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.07,0.001,100,1002.33,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.07,0.003,100,1002.36,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.07,0.005,100,1002.39,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.085,0.001,100,1003.22,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.085,0.003,100,1003.25,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,293.15,0.085,0.005,100,1003.28,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.01,0.001,100,997.61,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.01,0.003,100,997.66,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.01,0.005,100,997.72,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.025,0.001,100,998.43,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.025,0.003,100,998.47,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.025,0.005,100,998.51,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.04,0.001,100,999.26,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.04,0.003,100,999.29,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.04,0.005,100,999.34,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.055,0.001,100,1000.08,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.055,0.003,100,1000.14,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.055,0.005,100,1000.2,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.07,0.001,100,1000.9,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.07,0.003,100,1001.01,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.07,0.005,100,1001.1,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.085,0.001,100,1001.78,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.085,0.003,100,1001.9,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,298.15,0.085,0.005,100,1001.98,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.01,0.001,100,996.24,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.01,0.003,100,996.29,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.01,0.005,100,996.38,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.025,0.001,100,997.02,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.025,0.003,100,997.06,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.025,0.005,100,997.12,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.04,0.001,100,997.82,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.04,0.003,100,997.86,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.04,0.005,100,997.92,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.055,0.001,100,998.62,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.055,0.003,100,998.7,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.055,0.005,100,998.71,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.07,0.001,100,999.45,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.07,0.003,100,999.5,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.07,0.005,100,999.54,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.085,0.001,100,1000.29,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
NBqBH,303.15,0.085,0.003,100,1000.35,Majumder et al. (2023),Density,Liquid,AAZVMc,NC(=O)C[C@H](N)C(=O)O,L-asparagine,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,AADYJk,O,water
