setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DzzKD,288.15,0.0344,84.5,999.6,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,288.15,0.0526,84.5,999.8,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,288.15,0.0926,84.5,1000.4,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,288.15,0.1181,84.5,1000.7,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,288.15,0.1806,84.5,1001.6,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,288.15,0.2371,84.5,1002.3,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,288.15,0.479,84.5,1005.6,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,288.15,0.7374,84.5,1009,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,298.15,0.0344,84.5,997.5,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,298.15,0.0526,84.5,997.7,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,298.15,0.0926,84.5,998.2,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,298.15,0.1181,84.5,998.5,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,298.15,0.1806,84.5,999.3,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,298.15,0.2371,84.5,1000,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
DzzKD,298.15,0.479,84.5,1003,Noshadi and Sadeghi (2017a),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AADYJk,O,water,,,
