setid,Mole fraction of choline bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QnnQz,0,313.15,100,977.3,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,318.15,100,974.4,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,323.15,100,971.5,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,328.15,100,968.5,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,333.15,100,965.6,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,338.15,100,962.6,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,343.15,100,959.6,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,348.15,100,956.5,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0,353.15,100,953.5,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
QnnQz,0.0929,313.15,100,1081.9,Domanska et al. (2014e),Density,Liquid,AAUBbF,OCCCCCO,"1,5-pentanediol",ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
