setid,Mole fraction of ethylammonium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NOoqf,0,101,298.15,1130.9,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.0034,101,298.15,1132.1,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.0062,101,298.15,1133,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.0084,101,298.15,1133.6,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.0112,101,298.15,1133,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.0129,101,298.15,1134.2,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.4004,101,298.15,1189.3,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.5017,101,298.15,1196.1,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.6126,101,298.15,1199.2,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.6993,101,298.15,1203.4,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.7968,101,298.15,1205.9,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.8952,101,298.15,1207.3,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,0.9502,101,298.15,1209.2,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
NOoqf,1,101,298.15,1210.2,Nazet et al. (2017b),Density,Liquid,AALmzw,C[N+](=O)[O-],nitromethane,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
