setid,Mole fraction of propyl ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QXvGk,0,308.15,101,1032.5,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0,313.16,101,1029.1,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0,318.16,101,1025.7,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0,323.16,101,1022.3,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.0785,308.155,101,1016.8,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.0785,313.155,101,1013.3,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.0785,318.155,101,1009.8,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.0785,323.159,101,1006.3,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.1247,308.158,101,1013,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.1247,313.156,101,1009.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.1247,318.156,101,1005.7,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.1247,323.151,101,1001.9,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.207,308.157,101,1003.5,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.207,313.156,101,999.8,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.207,318.154,101,996.1,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.207,323.151,101,992.3,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.3035,308.156,101,993.9,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.3035,313.155,101,989.9,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.3035,318.156,101,985.9,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.3035,323.156,101,981.8,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.4177,308.154,101,981.8,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.4177,313.155,101,977.6,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.4177,318.15,101,973.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.4177,323.159,101,969.1,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.5088,308.16,101,968.9,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.5088,313.16,101,964.7,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.5088,318.16,101,960.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.5088,323.15,101,956,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.6042,308.16,101,953,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.6042,313.16,101,948.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.6042,318.16,101,943.8,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.6042,323.15,101,939.1,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.696,308.156,101,936.2,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.696,313.155,101,931.3,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.696,318.155,101,926.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.696,323.149,101,921.5,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.7939,308.16,101,917.5,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.7939,313.16,101,912.4,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
QXvGk,0.7939,318.15,101,907.2,Alvarez et al. (2013),Density,Liquid,AAThcz,CCCOC(C)=O,propyl ethanoate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
