setid,"Pressure, kPa","Temperature, K",Mole fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Modzi,100,288.15,0,1108.1,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.10164,1106.3,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.20135,1104.3,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.29995,1101.9,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.40147,1098.8,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.51064,1094.6,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.5934,1090.52,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.74651,1078.84,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.79741,1072.73,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.90037,1052.16,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,0.94978,1033.9,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,288.15,1,999.09,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0,1104.8,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.10164,1103,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.20135,1101,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.29995,1098.5,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.40147,1095.3,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.51064,1091.2,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.5934,1087.07,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.74651,1075.38,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.79741,1069.3,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.90037,1049.05,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,0.94978,1031.35,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,293.15,1,998.2,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,298.15,0,1101.4,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,298.15,0.10164,1099.6,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
Modzi,100,298.15,0.20135,1097.6,Vatascin and Dohnal (2017),Density,Liquid,AADYJk,O,water,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,
