setid,"Moles per mass of solution: tetraethylammonium nitrate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FSwqL,0,298.15,101,1095.33,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.01535,298.15,101,1095.49,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.0181,298.15,101,1095.52,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.02243,298.15,101,1095.55,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.02549,298.15,101,1095.57,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.03006,298.15,101,1095.61,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.03958,298.15,101,1095.68,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.04758,298.15,101,1095.74,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.05895,298.15,101,1095.82,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.07533,298.15,101,1095.94,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.09156,298.15,101,1096.05,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.1069,298.15,101,1096.16,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.1267,298.15,101,1096.29,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.1528,298.15,101,1096.45,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
FSwqL,0.18,298.15,101,1096.63,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,,,
