setid,"Temperature, K",Mole ratio to solvent: tetrabutylammonium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qJfpW,303.15,9,101,957,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,303.15,10,101,959,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,303.15,11,101,955,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,313.15,9,101,951,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,313.15,10,101,953,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,313.15,11,101,949,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,323.15,9,101,945,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,323.15,10,101,947,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,323.15,11,101,942,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,333.15,9,101,939,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,333.15,10,101,940,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,333.15,11,101,936,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,343.15,9,101,933,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,343.15,10,101,935,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,343.15,11,101,930,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,353.15,9,101,928,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,353.15,10,101,929,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
qJfpW,353.15,11,101,923,Mjalli et al. (2016),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
