setid,Mole fraction of 2-methoxy-2-methylbutane,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eeZcO,0,101,298.15,886.4,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.048,101,298.15,885.8,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.1078,101,298.15,884.7,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.2021,101,298.15,882.8,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.2989,101,298.15,880.3,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.4172,101,298.15,876.4,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.5019,101,298.15,872.7,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.5991,101,298.15,866.8,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.7036,101,298.15,857.6,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.7996,101,298.15,844,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.9,101,298.15,819.3,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,0.95,101,298.15,798.7,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
eeZcO,1,101,298.15,766,Lee and Park (2012),Density,Liquid,AAThNW,CCC(C)(C)OC,2-methoxy-2-methylbutane,ACskOY,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",,,
